[UVa 10683] The Decadary Watch,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1624,,,,,,,
[UVa 10703] Free Spots,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1644,,,,,,,
[UVa 10812] Beat the Spread!,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1753,,,,,,,
[UVa 10921] Find the Telephone,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1862,,,,,,,
[UVa 11044] Searching for Nessy,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1985,,,,,,,
[UVa 11150] Cola,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2091,,,,,,, 
[UVa 11223] O: Dah Dah Dah!,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2164,,,,,,,
[UVa 11340] Newspaper,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2315,,,,,,,
[UVa 11498] Division of nlogonia,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2493,,,,,,,
[UVa 11547] Automatic Answer,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2542,,,,,,,
[UVa 11616] Roman Numerals,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2663,,,,,,,
[UVa 11727] Cost Cutting,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2827,,,,,,,
[UVa 11800] Determine the Shape,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2900,,,,,,,
[LA 2189] Mobile Casanova,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=190,,,,,,,
[LA 3012] All Integer Average,https://icpcarchive.ecs.baylor.edu/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1013,,,,,,,
